notice_id,user_id,title,description,image_url,status,publish_date,expiry_date,created_at,updated_at
18,435,Campus Notice Title 18,This is the description for campus notice number 18. Please read carefully.,https://example.com/notices/image_18.jpg,pending,12-02-2026 10:00,21-02-2026 10:00,30-03-2026 13:00,30-03-2026 19:00
19,642,Campus Notice Title 19,This is the description for campus notice number 19. Please read carefully.,https://example.com/notices/image_19.jpg,pending,06-03-2026 17:00,13-03-2026 17:00,22-03-2026 13:00,22-03-2026 18:00
20,40,Campus Notice Title 20,This is the description for campus notice number 20. Please read carefully.,https://example.com/notices/image_20.jpg,rejected,04-02-2026 12:00,15-02-2026 12:00,28-03-2026 15:00,28-03-2026 15:00
21,537,Campus Notice Title 21,This is the description for campus notice number 21. Please read carefully.,https://example.com/notices/image_21.jpg,draft,23-02-2026 11:00,05-03-2026 11:00,21-01-2026 13:00,21-01-2026 16:00
22,635,Campus Notice Title 22,This is the description for campus notice number 22. Please read carefully.,https://example.com/notices/image_22.jpg,pending,02-01-2026 15:00,12-01-2026 15:00,13-02-2026 09:00,13-02-2026 09:00
23,882,Campus Notice Title 23,This is the description for campus notice number 23. Please read carefully.,https://example.com/notices/image_23.jpg,pending,21-01-2026 12:00,06-02-2026 12:00,14-01-2026 11:00,14-01-2026 12:00
24,128,Campus Notice Title 24,This is the description for campus notice number 24. Please read carefully.,https://example.com/notices/image_24.jpg,published,04-03-2026 15:00,26-03-2026 15:00,01-03-2026 15:00,02-03-2026 01:00
25,441,Campus Notice Title 25,This is the description for campus notice number 25. Please read carefully.,https://example.com/notices/image_25.jpg,rejected,05-03-2026 11:00,25-03-2026 11:00,18-03-2026 15:00,18-03-2026 16:00
26,561,Campus Notice Title 26,This is the description for campus notice number 26. Please read carefully.,https://example.com/notices/image_26.jpg,draft,21-03-2026 17:00,03-04-2026 17:00,21-01-2026 10:00,21-01-2026 17:00
27,646,Campus Notice Title 27,This is the description for campus notice number 27. Please read carefully.,https://example.com/notices/image_27.jpg,rejected,23-02-2026 09:00,24-03-2026 09:00,25-01-2026 12:00,25-01-2026 17:00
28,586,Campus Notice Title 28,This is the description for campus notice number 28. Please read carefully.,https://example.com/notices/image_28.jpg,draft,16-03-2026 10:00,10-04-2026 10:00,19-01-2026 16:00,19-01-2026 23:00
29,390,Campus Notice Title 29,This is the description for campus notice number 29. Please read carefully.,https://example.com/notices/image_29.jpg,draft,28-03-2026 12:00,27-04-2026 12:00,07-01-2026 09:00,07-01-2026 18:00
30,50,Campus Notice Title 30,This is the description for campus notice number 30. Please read carefully.,https://example.com/notices/image_30.jpg,rejected,28-02-2026 14:00,23-03-2026 14:00,19-01-2026 16:00,20-01-2026 02:00
31,410,Campus Notice Title 31,This is the description for campus notice number 31. Please read carefully.,https://example.com/notices/image_31.jpg,published,28-02-2026 10:00,10-03-2026 10:00,30-01-2026 10:00,30-01-2026 20:00
32,144,Campus Notice Title 32,This is the description for campus notice number 32. Please read carefully.,https://example.com/notices/image_32.jpg,draft,15-03-2026 17:00,05-04-2026 17:00,17-01-2026 12:00,17-01-2026 15:00
33,93,Campus Notice Title 33,This is the description for campus notice number 33. Please read carefully.,https://example.com/notices/image_33.jpg,draft,26-02-2026 13:00,25-03-2026 13:00,16-02-2026 12:00,16-02-2026 19:00
34,200,Campus Notice Title 34,This is the description for campus notice number 34. Please read carefully.,https://example.com/notices/image_34.jpg,draft,31-03-2026 11:00,19-04-2026 11:00,04-02-2026 17:00,04-02-2026 17:00
35,581,Campus Notice Title 35,This is the description for campus notice number 35. Please read carefully.,https://example.com/notices/image_35.jpg,published,27-03-2026 15:00,10-04-2026 15:00,09-03-2026 10:00,09-03-2026 15:00
36,543,Campus Notice Title 36,This is the description for campus notice number 36. Please read carefully.,https://example.com/notices/image_36.jpg,rejected,09-01-2026 13:00,22-01-2026 13:00,13-02-2026 09:00,13-02-2026 10:00
37,161,Campus Notice Title 37,This is the description for campus notice number 37. Please read carefully.,https://example.com/notices/image_37.jpg,pending,04-01-2026 12:00,25-01-2026 12:00,02-01-2026 12:00,02-01-2026 16:00
38,110,Campus Notice Title 38,This is the description for campus notice number 38. Please read carefully.,https://example.com/notices/image_38.jpg,rejected,25-03-2026 17:00,15-04-2026 17:00,18-03-2026 15:00,18-03-2026 20:00
39,541,Campus Notice Title 39,This is the description for campus notice number 39. Please read carefully.,https://example.com/notices/image_39.jpg,pending,08-03-2026 10:00,13-03-2026 10:00,11-03-2026 17:00,11-03-2026 21:00
40,933,Campus Notice Title 40,This is the description for campus notice number 40. Please read carefully.,https://example.com/notices/image_40.jpg,rejected,10-03-2026 11:00,22-03-2026 11:00,12-02-2026 14:00,12-02-2026 15:00
41,135,Campus Notice Title 41,This is the description for campus notice number 41. Please read carefully.,https://example.com/notices/image_41.jpg,published,21-03-2026 09:00,15-04-2026 09:00,01-01-2026 13:00,01-01-2026 16:00
42,199,Campus Notice Title 42,This is the description for campus notice number 42. Please read carefully.,https://example.com/notices/image_42.jpg,pending,19-02-2026 17:00,21-03-2026 17:00,22-03-2026 11:00,22-03-2026 16:00
43,803,Campus Notice Title 43,This is the description for campus notice number 43. Please read carefully.,https://example.com/notices/image_43.jpg,draft,03-01-2026 14:00,13-01-2026 14:00,16-02-2026 15:00,16-02-2026 19:00
44,819,Campus Notice Title 44,This is the description for campus notice number 44. Please read carefully.,https://example.com/notices/image_44.jpg,draft,04-02-2026 13:00,11-02-2026 13:00,29-01-2026 14:00,29-01-2026 21:00
45,712,Campus Notice Title 45,This is the description for campus notice number 45. Please read carefully.,https://example.com/notices/image_45.jpg,published,16-02-2026 15:00,27-02-2026 15:00,04-02-2026 16:00,04-02-2026 18:00
46,110,Campus Notice Title 46,This is the description for campus notice number 46. Please read carefully.,https://example.com/notices/image_46.jpg,draft,11-03-2026 14:00,23-03-2026 14:00,26-03-2026 11:00,26-03-2026 17:00
47,604,Campus Notice Title 47,This is the description for campus notice number 47. Please read carefully.,https://example.com/notices/image_47.jpg,published,02-02-2026 11:00,02-03-2026 11:00,08-03-2026 15:00,08-03-2026 23:00
48,420,Campus Notice Title 48,This is the description for campus notice number 48. Please read carefully.,https://example.com/notices/image_48.jpg,pending,26-01-2026 12:00,07-02-2026 12:00,12-03-2026 09:00,12-03-2026 17:00
49,687,Campus Notice Title 49,This is the description for campus notice number 49. Please read carefully.,https://example.com/notices/image_49.jpg,rejected,07-02-2026 17:00,07-03-2026 17:00,01-02-2026 09:00,01-02-2026 14:00
50,70,Campus Notice Title 50,This is the description for campus notice number 50. Please read carefully.,https://example.com/notices/image_50.jpg,draft,30-03-2026 09:00,08-04-2026 09:00,11-02-2026 09:00,11-02-2026 10:00
51,895,Campus Notice Title 51,This is the description for campus notice number 51. Please read carefully.,https://example.com/notices/image_51.jpg,published,14-01-2026 15:00,08-02-2026 15:00,11-03-2026 11:00,11-03-2026 18:00
52,755,Campus Notice Title 52,This is the description for campus notice number 52. Please read carefully.,https://example.com/notices/image_52.jpg,rejected,03-01-2026 14:00,09-01-2026 14:00,16-02-2026 14:00,16-02-2026 21:00
53,129,Campus Notice Title 53,This is the description for campus notice number 53. Please read carefully.,https://example.com/notices/image_53.jpg,pending,10-03-2026 17:00,23-03-2026 17:00,25-01-2026 16:00,25-01-2026 22:00
54,236,Campus Notice Title 54,This is the description for campus notice number 54. Please read carefully.,https://example.com/notices/image_54.jpg,published,10-02-2026 13:00,28-02-2026 13:00,22-01-2026 10:00,22-01-2026 14:00
55,62,Campus Notice Title 55,This is the description for campus notice number 55. Please read carefully.,https://example.com/notices/image_55.jpg,rejected,26-01-2026 15:00,19-02-2026 15:00,04-02-2026 14:00,05-02-2026 00:00
56,638,Campus Notice Title 56,This is the description for campus notice number 56. Please read carefully.,https://example.com/notices/image_56.jpg,rejected,28-01-2026 13:00,22-02-2026 13:00,25-02-2026 15:00,26-02-2026 00:00
57,344,Campus Notice Title 57,This is the description for campus notice number 57. Please read carefully.,https://example.com/notices/image_57.jpg,pending,29-03-2026 14:00,19-04-2026 14:00,31-03-2026 13:00,31-03-2026 17:00
58,417,Campus Notice Title 58,This is the description for campus notice number 58. Please read carefully.,https://example.com/notices/image_58.jpg,pending,05-03-2026 10:00,01-04-2026 10:00,31-03-2026 09:00,31-03-2026 17:00
59,90,Campus Notice Title 59,This is the description for campus notice number 59. Please read carefully.,https://example.com/notices/image_59.jpg,published,24-02-2026 15:00,11-03-2026 15:00,20-02-2026 12:00,20-02-2026 22:00
60,740,Campus Notice Title 60,This is the description for campus notice number 60. Please read carefully.,https://example.com/notices/image_60.jpg,published,31-03-2026 16:00,08-04-2026 16:00,16-03-2026 10:00,16-03-2026 19:00
61,242,Campus Notice Title 61,This is the description for campus notice number 61. Please read carefully.,https://example.com/notices/image_61.jpg,published,30-03-2026 09:00,18-04-2026 09:00,18-03-2026 15:00,18-03-2026 21:00
62,231,Campus Notice Title 62,This is the description for campus notice number 62. Please read carefully.,https://example.com/notices/image_62.jpg,published,16-01-2026 15:00,02-02-2026 15:00,17-02-2026 15:00,17-02-2026 18:00
63,583,Campus Notice Title 63,This is the description for campus notice number 63. Please read carefully.,https://example.com/notices/image_63.jpg,published,19-02-2026 17:00,11-03-2026 17:00,18-02-2026 16:00,18-02-2026 17:00
64,565,Campus Notice Title 64,This is the description for campus notice number 64. Please read carefully.,https://example.com/notices/image_64.jpg,draft,25-01-2026 10:00,31-01-2026 10:00,08-02-2026 16:00,08-02-2026 21:00
65,104,Campus Notice Title 65,This is the description for campus notice number 65. Please read carefully.,https://example.com/notices/image_65.jpg,rejected,02-03-2026 16:00,20-03-2026 16:00,18-03-2026 11:00,18-03-2026 20:00
66,951,Campus Notice Title 66,This is the description for campus notice number 66. Please read carefully.,https://example.com/notices/image_66.jpg,pending,02-03-2026 15:00,12-03-2026 15:00,01-02-2026 14:00,01-02-2026 19:00
67,553,Campus Notice Title 67,This is the description for campus notice number 67. Please read carefully.,https://example.com/notices/image_67.jpg,pending,13-03-2026 13:00,21-03-2026 13:00,25-01-2026 10:00,25-01-2026 20:00
68,714,Campus Notice Title 68,This is the description for campus notice number 68. Please read carefully.,https://example.com/notices/image_68.jpg,published,29-03-2026 13:00,07-04-2026 13:00,01-04-2026 16:00,02-04-2026 01:00
69,936,Campus Notice Title 69,This is the description for campus notice number 69. Please read carefully.,https://example.com/notices/image_69.jpg,rejected,01-02-2026 16:00,07-02-2026 16:00,14-01-2026 10:00,14-01-2026 15:00
70,416,Campus Notice Title 70,This is the description for campus notice number 70. Please read carefully.,https://example.com/notices/image_70.jpg,published,20-02-2026 10:00,11-03-2026 10:00,02-03-2026 16:00,03-03-2026 01:00
71,583,Campus Notice Title 71,This is the description for campus notice number 71. Please read carefully.,https://example.com/notices/image_71.jpg,pending,22-02-2026 13:00,21-03-2026 13:00,30-03-2026 17:00,30-03-2026 22:00
72,59,Campus Notice Title 72,This is the description for campus notice number 72. Please read carefully.,https://example.com/notices/image_72.jpg,draft,26-02-2026 09:00,23-03-2026 09:00,22-01-2026 14:00,22-01-2026 20:00
73,238,Campus Notice Title 73,This is the description for campus notice number 73. Please read carefully.,https://example.com/notices/image_73.jpg,pending,06-02-2026 11:00,27-02-2026 11:00,26-03-2026 10:00,26-03-2026 10:00
74,849,Campus Notice Title 74,This is the description for campus notice number 74. Please read carefully.,https://example.com/notices/image_74.jpg,pending,13-03-2026 09:00,02-04-2026 09:00,15-01-2026 17:00,16-01-2026 01:00
75,823,Campus Notice Title 75,This is the description for campus notice number 75. Please read carefully.,https://example.com/notices/image_75.jpg,pending,14-03-2026 13:00,25-03-2026 13:00,27-01-2026 12:00,27-01-2026 18:00
76,149,Campus Notice Title 76,This is the description for campus notice number 76. Please read carefully.,https://example.com/notices/image_76.jpg,rejected,16-01-2026 12:00,10-02-2026 12:00,13-01-2026 14:00,13-01-2026 15:00
77,775,Campus Notice Title 77,This is the description for campus notice number 77. Please read carefully.,https://example.com/notices/image_77.jpg,published,10-01-2026 11:00,31-01-2026 11:00,11-01-2026 10:00,11-01-2026 16:00
78,193,Campus Notice Title 78,This is the description for campus notice number 78. Please read carefully.,https://example.com/notices/image_78.jpg,draft,04-03-2026 12:00,25-03-2026 12:00,01-01-2026 15:00,01-01-2026 19:00
79,860,Campus Notice Title 79,This is the description for campus notice number 79. Please read carefully.,https://example.com/notices/image_79.jpg,pending,27-01-2026 16:00,19-02-2026 16:00,30-01-2026 09:00,30-01-2026 17:00
80,644,Campus Notice Title 80,This is the description for campus notice number 80. Please read carefully.,https://example.com/notices/image_80.jpg,draft,10-02-2026 15:00,09-03-2026 15:00,21-01-2026 11:00,21-01-2026 15:00
81,932,Campus Notice Title 81,This is the description for campus notice number 81. Please read carefully.,https://example.com/notices/image_81.jpg,pending,18-02-2026 16:00,11-03-2026 16:00,26-01-2026 14:00,26-01-2026 19:00
82,446,Campus Notice Title 82,This is the description for campus notice number 82. Please read carefully.,https://example.com/notices/image_82.jpg,draft,21-02-2026 16:00,07-03-2026 16:00,05-02-2026 16:00,06-02-2026 00:00
83,201,Campus Notice Title 83,This is the description for campus notice number 83. Please read carefully.,https://example.com/notices/image_83.jpg,published,22-03-2026 12:00,12-04-2026 12:00,08-02-2026 13:00,08-02-2026 22:00
84,554,Campus Notice Title 84,This is the description for campus notice number 84. Please read carefully.,https://example.com/notices/image_84.jpg,published,20-02-2026 11:00,01-03-2026 11:00,16-01-2026 10:00,16-01-2026 14:00
85,671,Campus Notice Title 85,This is the description for campus notice number 85. Please read carefully.,https://example.com/notices/image_85.jpg,rejected,20-03-2026 17:00,09-04-2026 17:00,16-02-2026 11:00,16-02-2026 21:00
86,99,Campus Notice Title 86,This is the description for campus notice number 86. Please read carefully.,https://example.com/notices/image_86.jpg,rejected,09-03-2026 09:00,26-03-2026 09:00,27-02-2026 09:00,27-02-2026 12:00
87,332,Campus Notice Title 87,This is the description for campus notice number 87. Please read carefully.,https://example.com/notices/image_87.jpg,pending,25-02-2026 12:00,15-03-2026 12:00,31-03-2026 16:00,31-03-2026 22:00
88,504,Campus Notice Title 88,This is the description for campus notice number 88. Please read carefully.,https://example.com/notices/image_88.jpg,rejected,01-04-2026 16:00,17-04-2026 16:00,12-01-2026 12:00,12-01-2026 21:00
89,835,Campus Notice Title 89,This is the description for campus notice number 89. Please read carefully.,https://example.com/notices/image_89.jpg,published,28-03-2026 17:00,24-04-2026 17:00,08-02-2026 09:00,08-02-2026 18:00
90,206,Campus Notice Title 90,This is the description for campus notice number 90. Please read carefully.,https://example.com/notices/image_90.jpg,published,24-01-2026 10:00,04-02-2026 10:00,22-02-2026 12:00,22-02-2026 13:00
91,623,Campus Notice Title 91,This is the description for campus notice number 91. Please read carefully.,https://example.com/notices/image_91.jpg,draft,25-03-2026 13:00,21-04-2026 13:00,05-03-2026 17:00,05-03-2026 22:00
92,259,Campus Notice Title 92,This is the description for campus notice number 92. Please read carefully.,https://example.com/notices/image_92.jpg,pending,12-02-2026 17:00,25-02-2026 17:00,28-03-2026 16:00,29-03-2026 02:00
93,405,Campus Notice Title 93,This is the description for campus notice number 93. Please read carefully.,https://example.com/notices/image_93.jpg,rejected,10-03-2026 17:00,08-04-2026 17:00,01-02-2026 13:00,01-02-2026 17:00
94,947,Campus Notice Title 94,This is the description for campus notice number 94. Please read carefully.,https://example.com/notices/image_94.jpg,published,05-02-2026 12:00,11-02-2026 12:00,05-03-2026 11:00,05-03-2026 14:00
95,109,Campus Notice Title 95,This is the description for campus notice number 95. Please read carefully.,https://example.com/notices/image_95.jpg,pending,28-02-2026 17:00,24-03-2026 17:00,04-03-2026 16:00,04-03-2026 18:00
96,283,Campus Notice Title 96,This is the description for campus notice number 96. Please read carefully.,https://example.com/notices/image_96.jpg,published,09-03-2026 09:00,30-03-2026 09:00,23-03-2026 13:00,23-03-2026 15:00
97,207,Campus Notice Title 97,This is the description for campus notice number 97. Please read carefully.,https://example.com/notices/image_97.jpg,pending,03-01-2026 10:00,30-01-2026 10:00,19-03-2026 11:00,19-03-2026 12:00
98,259,Campus Notice Title 98,This is the description for campus notice number 98. Please read carefully.,https://example.com/notices/image_98.jpg,published,14-01-2026 15:00,29-01-2026 15:00,18-03-2026 13:00,18-03-2026 17:00
99,2,Campus Notice Title 99,This is the description for campus notice number 99. Please read carefully.,https://example.com/notices/image_99.jpg,pending,12-03-2026 14:00,03-04-2026 14:00,30-03-2026 11:00,30-03-2026 21:00
100,925,Campus Notice Title 100,This is the description for campus notice number 100. Please read carefully.,https://example.com/notices/image_100.jpg,published,26-01-2026 14:00,21-02-2026 14:00,27-01-2026 09:00,27-01-2026 12:00
101,272,Campus Notice Title 101,This is the description for campus notice number 101. Please read carefully.,https://example.com/notices/image_101.jpg,published,06-01-2026 12:00,22-01-2026 12:00,28-03-2026 15:00,28-03-2026 17:00
102,74,Campus Notice Title 102,This is the description for campus notice number 102. Please read carefully.,https://example.com/notices/image_102.jpg,published,24-03-2026 15:00,31-03-2026 15:00,03-03-2026 09:00,03-03-2026 12:00
103,853,Campus Notice Title 103,This is the description for campus notice number 103. Please read carefully.,https://example.com/notices/image_103.jpg,pending,23-02-2026 12:00,18-03-2026 12:00,19-03-2026 10:00,19-03-2026 15:00
104,181,Campus Notice Title 104,This is the description for campus notice number 104. Please read carefully.,https://example.com/notices/image_104.jpg,rejected,19-03-2026 14:00,24-03-2026 14:00,31-03-2026 10:00,31-03-2026 14:00
105,145,Campus Notice Title 105,This is the description for campus notice number 105. Please read carefully.,https://example.com/notices/image_105.jpg,draft,08-02-2026 09:00,17-02-2026 09:00,22-03-2026 09:00,22-03-2026 19:00
106,416,Campus Notice Title 106,This is the description for campus notice number 106. Please read carefully.,https://example.com/notices/image_106.jpg,rejected,28-01-2026 10:00,16-02-2026 10:00,11-01-2026 17:00,12-01-2026 01:00
107,740,Campus Notice Title 107,This is the description for campus notice number 107. Please read carefully.,https://example.com/notices/image_107.jpg,published,17-01-2026 11:00,09-02-2026 11:00,08-03-2026 13:00,08-03-2026 23:00
108,587,Campus Notice Title 108,This is the description for campus notice number 108. Please read carefully.,https://example.com/notices/image_108.jpg,published,26-02-2026 11:00,26-03-2026 11:00,31-01-2026 16:00,31-01-2026 21:00
109,241,Campus Notice Title 109,This is the description for campus notice number 109. Please read carefully.,https://example.com/notices/image_109.jpg,draft,27-02-2026 17:00,28-03-2026 17:00,29-03-2026 17:00,29-03-2026 18:00
110,841,Campus Notice Title 110,This is the description for campus notice number 110. Please read carefully.,https://example.com/notices/image_110.jpg,published,08-02-2026 10:00,08-03-2026 10:00,11-02-2026 13:00,11-02-2026 14:00
111,219,Campus Notice Title 111,This is the description for campus notice number 111. Please read carefully.,https://example.com/notices/image_111.jpg,rejected,09-03-2026 09:00,03-04-2026 09:00,24-02-2026 10:00,24-02-2026 14:00
112,607,Campus Notice Title 112,This is the description for campus notice number 112. Please read carefully.,https://example.com/notices/image_112.jpg,rejected,12-02-2026 14:00,14-03-2026 14:00,20-01-2026 13:00,20-01-2026 17:00
113,973,Campus Notice Title 113,This is the description for campus notice number 113. Please read carefully.,https://example.com/notices/image_113.jpg,draft,09-02-2026 12:00,27-02-2026 12:00,24-01-2026 17:00,24-01-2026 19:00
114,609,Campus Notice Title 114,This is the description for campus notice number 114. Please read carefully.,https://example.com/notices/image_114.jpg,draft,12-01-2026 14:00,17-01-2026 14:00,27-02-2026 09:00,27-02-2026 09:00
115,78,Campus Notice Title 115,This is the description for campus notice number 115. Please read carefully.,https://example.com/notices/image_115.jpg,pending,16-03-2026 14:00,01-04-2026 14:00,13-01-2026 10:00,13-01-2026 10:00
116,926,Campus Notice Title 116,This is the description for campus notice number 116. Please read carefully.,https://example.com/notices/image_116.jpg,published,23-03-2026 10:00,22-04-2026 10:00,18-02-2026 09:00,18-02-2026 15:00
117,286,Campus Notice Title 117,This is the description for campus notice number 117. Please read carefully.,https://example.com/notices/image_117.jpg,draft,25-01-2026 17:00,21-02-2026 17:00,23-01-2026 17:00,23-01-2026 17:00
118,159,Campus Notice Title 118,This is the description for campus notice number 118. Please read carefully.,https://example.com/notices/image_118.jpg,draft,17-03-2026 14:00,13-04-2026 14:00,23-01-2026 15:00,24-01-2026 01:00
119,524,Campus Notice Title 119,This is the description for campus notice number 119. Please read carefully.,https://example.com/notices/image_119.jpg,pending,17-02-2026 16:00,24-02-2026 16:00,29-03-2026 13:00,29-03-2026 13:00
120,355,Campus Notice Title 120,This is the description for campus notice number 120. Please read carefully.,https://example.com/notices/image_120.jpg,rejected,13-01-2026 15:00,07-02-2026 15:00,18-02-2026 10:00,18-02-2026 17:00
121,840,Campus Notice Title 121,This is the description for campus notice number 121. Please read carefully.,https://example.com/notices/image_121.jpg,draft,25-01-2026 16:00,14-02-2026 16:00,16-01-2026 10:00,16-01-2026 18:00
122,127,Campus Notice Title 122,This is the description for campus notice number 122. Please read carefully.,https://example.com/notices/image_122.jpg,draft,10-02-2026 15:00,03-03-2026 15:00,16-02-2026 09:00,16-02-2026 15:00
123,339,Campus Notice Title 123,This is the description for campus notice number 123. Please read carefully.,https://example.com/notices/image_123.jpg,rejected,05-01-2026 13:00,15-01-2026 13:00,22-02-2026 09:00,22-02-2026 12:00
124,144,Campus Notice Title 124,This is the description for campus notice number 124. Please read carefully.,https://example.com/notices/image_124.jpg,rejected,03-02-2026 17:00,02-03-2026 17:00,01-03-2026 15:00,01-03-2026 16:00
125,61,Campus Notice Title 125,This is the description for campus notice number 125. Please read carefully.,https://example.com/notices/image_125.jpg,draft,18-03-2026 13:00,09-04-2026 13:00,06-03-2026 17:00,07-03-2026 00:00
126,462,Campus Notice Title 126,This is the description for campus notice number 126. Please read carefully.,https://example.com/notices/image_126.jpg,rejected,12-03-2026 13:00,29-03-2026 13:00,06-03-2026 13:00,06-03-2026 17:00
127,758,Campus Notice Title 127,This is the description for campus notice number 127. Please read carefully.,https://example.com/notices/image_127.jpg,pending,15-01-2026 11:00,04-02-2026 11:00,13-03-2026 15:00,13-03-2026 16:00
128,734,Campus Notice Title 128,This is the description for campus notice number 128. Please read carefully.,https://example.com/notices/image_128.jpg,draft,17-01-2026 13:00,09-02-2026 13:00,02-02-2026 09:00,02-02-2026 09:00
129,107,Campus Notice Title 129,This is the description for campus notice number 129. Please read carefully.,https://example.com/notices/image_129.jpg,pending,06-02-2026 14:00,27-02-2026 14:00,28-02-2026 11:00,28-02-2026 17:00
130,367,Campus Notice Title 130,This is the description for campus notice number 130. Please read carefully.,https://example.com/notices/image_130.jpg,rejected,18-02-2026 13:00,23-02-2026 13:00,26-03-2026 10:00,26-03-2026 18:00
131,451,Campus Notice Title 131,This is the description for campus notice number 131. Please read carefully.,https://example.com/notices/image_131.jpg,pending,18-03-2026 10:00,28-03-2026 10:00,07-03-2026 10:00,07-03-2026 19:00
132,507,Campus Notice Title 132,This is the description for campus notice number 132. Please read carefully.,https://example.com/notices/image_132.jpg,rejected,22-01-2026 09:00,02-02-2026 09:00,07-01-2026 17:00,07-01-2026 22:00
133,211,Campus Notice Title 133,This is the description for campus notice number 133. Please read carefully.,https://example.com/notices/image_133.jpg,published,27-02-2026 11:00,26-03-2026 11:00,23-02-2026 13:00,23-02-2026 21:00
134,931,Campus Notice Title 134,This is the description for campus notice number 134. Please read carefully.,https://example.com/notices/image_134.jpg,rejected,28-01-2026 17:00,07-02-2026 17:00,28-01-2026 09:00,28-01-2026 17:00
135,286,Campus Notice Title 135,This is the description for campus notice number 135. Please read carefully.,https://example.com/notices/image_135.jpg,published,10-03-2026 14:00,24-03-2026 14:00,08-01-2026 15:00,08-01-2026 17:00
136,526,Campus Notice Title 136,This is the description for campus notice number 136. Please read carefully.,https://example.com/notices/image_136.jpg,rejected,14-03-2026 11:00,28-03-2026 11:00,07-03-2026 11:00,07-03-2026 19:00
137,351,Campus Notice Title 137,This is the description for campus notice number 137. Please read carefully.,https://example.com/notices/image_137.jpg,published,01-02-2026 17:00,20-02-2026 17:00,29-03-2026 16:00,29-03-2026 20:00
138,736,Campus Notice Title 138,This is the description for campus notice number 138. Please read carefully.,https://example.com/notices/image_138.jpg,draft,04-02-2026 15:00,23-02-2026 15:00,27-03-2026 13:00,27-03-2026 23:00
139,93,Campus Notice Title 139,This is the description for campus notice number 139. Please read carefully.,https://example.com/notices/image_139.jpg,draft,12-02-2026 13:00,04-03-2026 13:00,04-03-2026 12:00,04-03-2026 16:00
