event_id,user_id,event_name,event_description,event_type,location,event_image,start_date,end_date,created_at,updated_at
91,623,Event 91,This is description for event 91,Sports,Bangalore,event_91.jpg,2023-03-03 21:43:00,2023-03-03 21:43:00,2023-03-01 21:43:00,2023-03-24 21:43:00
92,259,Event 92,This is description for event 92,Sports,Delhi,event_92.jpg,2023-06-25 04:15:00,2023-06-26 04:15:00,2023-06-20 04:15:00,2023-07-14 04:15:00
93,405,Event 93,This is description for event 93,Cultural,Mumbai,event_93.jpg,2024-11-25 14:18:00,2024-11-26 14:18:00,2024-11-18 14:18:00,2024-12-05 14:18:00
94,947,Event 94,This is description for event 94,Seminar,Hyderabad,event_94.jpg,2025-06-15 03:37:00,2025-06-17 03:37:00,2025-06-09 03:37:00,2025-06-29 03:37:00
95,109,Event 95,This is description for event 95,Seminar,Mumbai,event_95.jpg,2025-01-05 09:07:00,2025-01-07 09:07:00,2025-01-04 09:07:00,2025-01-17 09:07:00
96,283,Event 96,This is description for event 96,Seminar,Delhi,event_96.jpg,2023-01-17 17:31:00,2023-01-18 17:31:00,2023-01-14 17:31:00,2023-01-24 17:31:00
97,207,Event 97,This is description for event 97,Seminar,Mumbai,event_97.jpg,2024-03-25 03:52:00,2024-03-27 03:52:00,2024-03-18 03:52:00,2024-03-19 03:52:00
98,259,Event 98,This is description for event 98,Sports,Pune,event_98.jpg,2024-10-18 18:52:00,2024-10-19 18:52:00,2024-10-11 18:52:00,2024-11-05 18:52:00
99,2,Event 99,This is description for event 99,Seminar,Delhi,event_99.jpg,2024-01-23 09:15:00,2024-01-25 09:15:00,2024-01-19 09:15:00,2024-02-12 09:15:00
100,925,Event 100,This is description for event 100,Sports,Hyderabad,event_100.jpg,2023-06-02 18:25:00,2023-06-02 18:25:00,2023-05-30 18:25:00,2023-06-08 18:25:00
101,272,Event 101,This is description for event 101,Sports,Hyderabad,event_101.jpg,2024-10-02 05:29:00,2024-10-03 05:29:00,2024-09-28 05:29:00,2024-10-06 05:29:00
102,74,Event 102,This is description for event 102,Seminar,Delhi,event_102.jpg,2024-01-24 16:03:00,2024-01-26 16:03:00,2024-01-21 16:03:00,2024-02-18 16:03:00
103,853,Event 103,This is description for event 103,Cultural,Hyderabad,event_103.jpg,2025-06-25 18:25:00,2025-06-27 18:25:00,2025-06-21 18:25:00,2025-07-01 18:25:00
104,181,Event 104,This is description for event 104,Workshop,Delhi,event_104.jpg,2025-06-05 17:04:00,2025-06-08 17:04:00,2025-06-02 17:04:00,2025-06-30 17:04:00
105,145,Event 105,This is description for event 105,Technical,Delhi,event_105.jpg,2024-05-24 21:55:00,2024-05-25 21:55:00,2024-05-21 21:55:00,2024-06-09 21:55:00
106,416,Event 106,This is description for event 106,Cultural,Delhi,event_106.jpg,2023-07-18 10:13:00,2023-07-18 10:13:00,2023-07-12 10:13:00,2023-07-31 10:13:00
107,740,Event 107,This is description for event 107,Cultural,Delhi,event_107.jpg,2023-02-12 10:57:00,2023-02-15 10:57:00,2023-02-04 10:57:00,2023-02-20 10:57:00
108,587,Event 108,This is description for event 108,Workshop,Bangalore,event_108.jpg,2023-12-19 12:59:00,2023-12-20 12:59:00,2023-12-12 12:59:00,2024-01-07 12:59:00
109,241,Event 109,This is description for event 109,Sports,Bangalore,event_109.jpg,2023-06-19 04:10:00,2023-06-19 04:10:00,2023-06-18 04:10:00,2023-07-03 04:10:00
110,841,Event 110,This is description for event 110,Cultural,Hyderabad,event_110.jpg,2026-01-09 03:57:00,2026-01-11 03:57:00,2025-12-30 03:57:00,2026-01-14 03:57:00
111,219,Event 111,This is description for event 111,Sports,Delhi,event_111.jpg,2024-12-09 01:45:00,2024-12-11 01:45:00,2024-12-05 01:45:00,2025-01-02 01:45:00
112,607,Event 112,This is description for event 112,Sports,Delhi,event_112.jpg,2025-10-03 11:32:00,2025-10-03 11:32:00,2025-10-01 11:32:00,2025-10-26 11:32:00
113,973,Event 113,This is description for event 113,Technical,Hyderabad,event_113.jpg,2024-07-21 19:45:00,2024-07-21 19:45:00,2024-07-17 19:45:00,2024-08-13 19:45:00
114,609,Event 114,This is description for event 114,Technical,Mumbai,event_114.jpg,2025-06-24 22:46:00,2025-06-27 22:46:00,2025-06-15 22:46:00,2025-07-10 22:46:00
115,78,Event 115,This is description for event 115,Seminar,Bangalore,event_115.jpg,2024-10-15 22:16:00,2024-10-16 22:16:00,2024-10-14 22:16:00,2024-10-31 22:16:00
116,926,Event 116,This is description for event 116,Seminar,Pune,event_116.jpg,2024-07-11 08:29:00,2024-07-11 08:29:00,2024-07-01 08:29:00,2024-07-13 08:29:00
117,286,Event 117,This is description for event 117,Cultural,Bangalore,event_117.jpg,2025-04-07 21:41:00,2025-04-08 21:41:00,2025-03-30 21:41:00,2025-04-25 21:41:00
118,159,Event 118,This is description for event 118,Seminar,Delhi,event_118.jpg,2025-03-05 10:56:00,2025-03-08 10:56:00,2025-02-24 10:56:00,2025-02-28 10:56:00
119,524,Event 119,This is description for event 119,Technical,Mumbai,event_119.jpg,2024-09-24 21:58:00,2024-09-26 21:58:00,2024-09-19 21:58:00,2024-09-27 21:58:00
120,355,Event 120,This is description for event 120,Seminar,Delhi,event_120.jpg,2024-07-12 10:45:00,2024-07-12 10:45:00,2024-07-05 10:45:00,2024-08-03 10:45:00
121,840,Event 121,This is description for event 121,Cultural,Mumbai,event_121.jpg,2024-08-25 11:12:00,2024-08-27 11:12:00,2024-08-22 11:12:00,2024-09-15 11:12:00
122,127,Event 122,This is description for event 122,Seminar,Delhi,event_122.jpg,2025-06-23 03:29:00,2025-06-25 03:29:00,2025-06-14 03:29:00,2025-06-22 03:29:00
123,339,Event 123,This is description for event 123,Technical,Pune,event_123.jpg,2023-05-04 09:17:00,2023-05-04 09:17:00,2023-04-26 09:17:00,2023-05-15 09:17:00
124,144,Event 124,This is description for event 124,Workshop,Bangalore,event_124.jpg,2023-03-05 22:46:00,2023-03-05 22:46:00,2023-02-25 22:46:00,2023-03-10 22:46:00
125,61,Event 125,This is description for event 125,Technical,Pune,event_125.jpg,2024-04-30 04:40:00,2024-05-03 04:40:00,2024-04-28 04:40:00,2024-05-02 04:40:00
126,462,Event 126,This is description for event 126,Seminar,Hyderabad,event_126.jpg,2024-06-11 08:19:00,2024-06-14 08:19:00,2024-06-09 08:19:00,2024-06-28 08:19:00
127,758,Event 127,This is description for event 127,Seminar,Pune,event_127.jpg,2025-11-18 22:33:00,2025-11-20 22:33:00,2025-11-11 22:33:00,2025-12-10 22:33:00
128,734,Event 128,This is description for event 128,Cultural,Delhi,event_128.jpg,2024-12-21 20:28:00,2024-12-21 20:28:00,2024-12-13 20:28:00,2024-12-20 20:28:00
129,107,Event 129,This is description for event 129,Seminar,Bangalore,event_129.jpg,2025-02-08 21:15:00,2025-02-08 21:15:00,2025-02-07 21:15:00,2025-03-08 21:15:00
130,367,Event 130,This is description for event 130,Cultural,Pune,event_130.jpg,2025-07-29 02:37:00,2025-07-31 02:37:00,2025-07-28 02:37:00,2025-08-12 02:37:00
131,451,Event 131,This is description for event 131,Seminar,Pune,event_131.jpg,2023-11-28 19:43:00,2023-11-28 19:43:00,2023-11-19 19:43:00,2023-11-26 19:43:00
132,507,Event 132,This is description for event 132,Technical,Bangalore,event_132.jpg,2023-03-20 23:06:00,2023-03-22 23:06:00,2023-03-16 23:06:00,2023-03-29 23:06:00
133,211,Event 133,This is description for event 133,Seminar,Pune,event_133.jpg,2025-06-21 05:11:00,2025-06-22 05:11:00,2025-06-11 05:11:00,2025-06-26 05:11:00
134,931,Event 134,This is description for event 134,Workshop,Pune,event_134.jpg,2025-05-06 05:05:00,2025-05-07 05:05:00,2025-04-28 05:05:00,2025-04-29 05:05:00
135,286,Event 135,This is description for event 135,Sports,Mumbai,event_135.jpg,2025-04-26 09:39:00,2025-04-26 09:39:00,2025-04-17 09:39:00,2025-05-04 09:39:00
136,526,Event 136,This is description for event 136,Technical,Delhi,event_136.jpg,2025-12-18 02:11:00,2025-12-21 02:11:00,2025-12-13 02:11:00,2025-12-19 02:11:00
137,351,Event 137,This is description for event 137,Sports,Bangalore,event_137.jpg,2025-03-20 05:58:00,2025-03-21 05:58:00,2025-03-17 05:58:00,2025-04-16 05:58:00
138,736,Event 138,This is description for event 138,Cultural,Bangalore,event_138.jpg,2025-06-04 19:50:00,2025-06-06 19:50:00,2025-05-29 19:50:00,2025-06-14 19:50:00
139,93,Event 139,This is description for event 139,Cultural,Hyderabad,event_139.jpg,2023-08-27 12:34:00,2023-08-27 12:34:00,2023-08-24 12:34:00,2023-09-19 12:34:00
140,455,Event 140,This is description for event 140,Technical,Mumbai,event_140.jpg,2024-04-18 14:03:00,2024-04-21 14:03:00,2024-04-12 14:03:00,2024-05-04 14:03:00
141,576,Event 141,This is description for event 141,Cultural,Delhi,event_141.jpg,2023-10-27 07:22:00,2023-10-29 07:22:00,2023-10-19 07:22:00,2023-10-26 07:22:00
142,236,Event 142,This is description for event 142,Seminar,Hyderabad,event_142.jpg,2025-02-25 02:35:00,2025-02-27 02:35:00,2025-02-24 02:35:00,2025-03-06 02:35:00
143,764,Event 143,This is description for event 143,Workshop,Hyderabad,event_143.jpg,2023-04-20 14:35:00,2023-04-21 14:35:00,2023-04-15 14:35:00,2023-05-14 14:35:00
144,414,Event 144,This is description for event 144,Seminar,Hyderabad,event_144.jpg,2024-12-24 13:08:00,2024-12-24 13:08:00,2024-12-16 13:08:00,2025-01-14 13:08:00
145,112,Event 145,This is description for event 145,Workshop,Pune,event_145.jpg,2024-09-14 14:44:00,2024-09-17 14:44:00,2024-09-08 14:44:00,2024-09-21 14:44:00
146,243,Event 146,This is description for event 146,Cultural,Hyderabad,event_146.jpg,2024-03-07 09:09:00,2024-03-07 09:09:00,2024-03-01 09:09:00,2024-03-14 09:09:00
147,607,Event 147,This is description for event 147,Technical,Bangalore,event_147.jpg,2024-01-30 01:40:00,2024-01-30 01:40:00,2024-01-29 01:40:00,2024-02-01 01:40:00
148,228,Event 148,This is description for event 148,Technical,Pune,event_148.jpg,2023-04-11 00:37:00,2023-04-11 00:37:00,2023-04-01 00:37:00,2023-04-07 00:37:00
149,834,Event 149,This is description for event 149,Workshop,Hyderabad,event_149.jpg,2023-06-25 02:38:00,2023-06-25 02:38:00,2023-06-24 02:38:00,2023-07-02 02:38:00
150,392,Event 150,This is description for event 150,Technical,Hyderabad,event_150.jpg,2023-06-12 14:26:00,2023-06-15 14:26:00,2023-06-07 14:26:00,2023-06-26 14:26:00
151,873,Event 151,This is description for event 151,Workshop,Pune,event_151.jpg,2025-07-05 06:43:00,2025-07-08 06:43:00,2025-06-25 06:43:00,2025-06-30 06:43:00
152,391,Event 152,This is description for event 152,Workshop,Delhi,event_152.jpg,2024-04-01 11:48:00,2024-04-02 11:48:00,2024-03-30 11:48:00,2024-04-19 11:48:00
153,644,Event 153,This is description for event 153,Workshop,Pune,event_153.jpg,2025-06-21 14:23:00,2025-06-23 14:23:00,2025-06-19 14:23:00,2025-06-22 14:23:00
154,649,Event 154,This is description for event 154,Cultural,Mumbai,event_154.jpg,2025-06-22 06:29:00,2025-06-23 06:29:00,2025-06-12 06:29:00,2025-07-09 06:29:00
155,452,Event 155,This is description for event 155,Technical,Hyderabad,event_155.jpg,2024-01-08 04:11:00,2024-01-09 04:11:00,2023-12-30 04:11:00,2024-01-09 04:11:00
156,756,Event 156,This is description for event 156,Workshop,Bangalore,event_156.jpg,2025-01-11 18:51:00,2025-01-12 18:51:00,2025-01-01 18:51:00,2025-01-29 18:51:00
157,911,Event 157,This is description for event 157,Seminar,Delhi,event_157.jpg,2024-12-08 20:14:00,2024-12-10 20:14:00,2024-12-01 20:14:00,2024-12-24 20:14:00
158,628,Event 158,This is description for event 158,Seminar,Hyderabad,event_158.jpg,2024-05-25 03:36:00,2024-05-26 03:36:00,2024-05-20 03:36:00,2024-05-24 03:36:00
159,428,Event 159,This is description for event 159,Cultural,Hyderabad,event_159.jpg,2024-03-16 16:26:00,2024-03-19 16:26:00,2024-03-06 16:26:00,2024-03-17 16:26:00
